Latitude (decimal degrees):	48.125
Longitude (decimal degrees):	11.583
Elevation (m):	520
Radiation database:	PVGIS-SARAH2


Slope: 37 deg. (optimum)
Azimuth: 4 deg. (optimum)
Nominal power of the PV system (CdTe) (kWp):	4.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160103:0310,0.0,0.0,0.0,0.96,1.24,0.0
20160103:0410,0.0,0.0,0.0,1.15,1.17,0.0
20160103:0510,0.0,0.0,0.0,1.25,1.1,0.0
20160103:0610,0.0,0.0,0.0,1.27,1.1,0.0
20160103:0710,0.0,0.0,0.0,0.46,0.48,0.0
20160103:0810,0.0,9.17,7.6,0.5,0.69,0.0
20160103:0910,818.88,224.87,13.53,0.83,0.83,0.0
20160103:1010,1128.08,296.88,17.46,1.17,0.9,0.0
20160103:1110,729.52,204.85,19.03,1.59,0.97,0.0
20160103:1210,107.32,53.21,18.06,1.96,1.03,0.0
20160103:1310,205.8,79.62,14.67,2.38,0.97,0.0
20160103:1410,699.4,197.41,9.18,2.66,1.31,0.0
20160103:1510,0.0,0.0,0.0,2.15,1.93,0.0
20160103:1610,0.0,0.0,0.0,1.09,2.28,0.0
20160103:1710,0.0,0.0,0.0,0.5,2.28,0.0
20160103:1810,0.0,0.0,0.0,-0.29,2.41,0.0
20160103:1910,0.0,0.0,0.0,-1.13,2.48,0.0
20160103:2010,0.0,0.0,0.0,-1.43,2.41,0.0
20160103:2110,0.0,0.0,0.0,-1.78,2.34,0.0
20160103:2210,0.0,0.0,0.0,-1.84,2.28,0.0
20160103:2310,0.0,0.0,0.0,-1.79,2.0,0.0
20160104:0010,0.0,0.0,0.0,-1.76,1.79,0.0
20160104:0110,0.0,0.0,0.0,-1.59,1.52,0.0
20160104:0210,0.0,0.0,0.0,-1.39,1.1,0.0
20160104:0310,0.0,0.0,0.0,-1.21,0.83,0.0
20160104:0410,0.0,0.0,0.0,-1.15,0.62,0.0
20160104:0510,0.0,0.0,0.0,-1.11,0.62,0.0
20160104:0610,0.0,0.0,0.0,-1.02,0.62,0.0
20160104:0710,0.0,0.0,0.0,-0.58,1.17,0.0
20160104:0810,316.64,106.96,7.64,-0.03,1.38,0.0
20160104:0910,1516.32,387.15,13.59,0.87,1.66,0.0
20160104:1010,785.72,217.46,17.54,2.25,2.28,0.0
20160104:1110,813.36,224.29,19.13,3.32,2.9,0.0
20160104:1210,129.92,59.63,18.18,3.94,3.79,0.0
20160104:1310,2794.52,697.52,14.8,4.07,3.93,0.0
20160104:1410,1758.52,445.27,9.32,3.86,3.79,0.0
20160104:1510,0.0,0.0,0.0,3.33,3.52,0.0
20160104:1610,0.0,0.0,0.0,2.41,3.24,0.0
20160104:1710,0.0,0.0,0.0,1.78,3.17,0.0
20160104:1810,0.0,0.0,0.0,1.32,2.9,0.0
20160104:1910,0.0,0.0,0.0,1.05,2.55,0.0
20160104:2010,0.0,0.0,0.0,0.6,2.34,0.0
20160104:2110,0.0,0.0,0.0,0.14,2.21,0.0
20160104:2210,0.0,0.0,0.0,-0.43,2.14,0.0
20160104:2310,0.0,0.0,0.0,-0.96,2.07,0.0
20160105:0010,0.0,0.0,0.0,-1.53,2.0,0.0
20160105:0110,0.0,0.0,0.0,-1.86,1.86,0.0
20160105:0210,0.0,0.0,0.0,-2.4,1.79,0.0
20160105:0310,0.0,0.0,0.0,-2.86,1.52,0.0
20160105:0410,0.0,0.0,0.0,-3.04,1.38,0.0
20160105:0510,0.0,0.0,0.0,-2.73,1.24,0.0
20160105:0610,0.0,0.0,0.0,-2.02,1.03,0.0
20160105:0710,0.0,0.0,0.0,-2.05,1.38,0.0
20160105:0810,272.6,95.92,7.68,-1.28,0.97,0.0
20160105:0910,495.32,149.35,13.65,0.13,0.97,0.0
20160105:1010,686.64,194.7,17.63,1.65,1.1,0.0
20160105:1110,1974.52,500.65,19.23,3.46,1.17,0.0
20160105:1210,1017.48,272.6,18.3,4.46,1.45,0.0
20160105:1310,1069.72,284.6,14.94,4.81,1.38,0.0
20160105:1410,1539.72,396.72,9.46,4.92,1.45,0.0
20160105:1510,0.0,0.0,0.0,3.87,1.59,0.0
20160105:1610,0.0,0.0,0.0,2.28,1.66,0.0
20160105:1710,0.0,0.0,0.0,0.46,1.72,0.0
20160105:1810,0.0,0.0,0.0,-1.06,1.72,0.0
20160105:1910,0.0,0.0,0.0,-1.77,1.79,0.0
20160105:2010,0.0,0.0,0.0,-2.33,1.86,0.0
20160105:2110,0.0,0.0,0.0,-2.65,1.79,0.0
20160105:2210,0.0,0.0,0.0,-2.66,1.59,0.0
20160105:2310,0.0,0.0,0.0,-2.63,1.52,0.0
20160106:0010,0.0,0.0,0.0,-2.21,1.17,0.0
20160106:0110,0.0,0.0,0.0,-1.33,0.83,0.0
20160106:0210,0.0,0.0,0.0,-1.6,0.83,0.0
20160106:0310,0.0,0.0,0.0,-2.31,1.17,0.0
20160106:0410,0.0,0.0,0.0,-2.73,1.31,0.0
20160106:0510,0.0,0.0,0.0,-2.8,1.31,0.0
20160106:0610,0.0,0.0,0.0,-2.76,1.24,0.0
20160106:0710,0.0,0.0,0.0,-2.49,1.31,0.0
20160106:0810,1400.08,363.67,7.74,-1.67,0.97,0.0
20160106:0910,1279.56,332.32,13.73,0.31,0.55,0.0
20160106:1010,1472.56,379.9,17.72,2.54,0.34,0.0
20160106:1110,1225.0,322.62,19.35,4.09,0.14,0.0
20160106:1210,2192.04,560.03,18.43,4.96,0.28,0.0
20160106:1310,669.4,191.92,15.08,5.33,0.34,0.0
20160106:1410,890.16,243.48,9.61,5.11,0.55,0.0
20160106:1510,0.0,9.17,2.46,3.63,1.03,0.0
20160106:1610,0.0,0.0,0.0,2.88,0.97,0.0
20160106:1710,0.0,0.0,0.0,1.98,0.97,0.0
20160106:1810,0.0,0.0,0.0,-0.76,1.66,0.0
20160106:1910,0.0,0.0,0.0,-0.65,2.07,0.0
20160106:2010,0.0,0.0,0.0,-0.37,1.72,0.0
20160106:2110,0.0,0.0,0.0,-0.26,1.59,0.0
20160106:2210,0.0,0.0,0.0,-0.65,1.52,0.0
20160106:2310,0.0,0.0,0.0,-1.19,1.59,0.0
20160107:0010,0.0,0.0,0.0,-1.55,1.59,0.0
20160107:0110,0.0,0.0,0.0,-0.5,1.45,0.0
20160107:0210,0.0,0.0,0.0,-0.42,1.45,0.0
20160107:0310,0.0,0.0,0.0,-0.85,1.45,0.0
20160107:0410,0.0,0.0,0.0,-1.25,1.52,0.0
20160107:0510,0.0,0.0,0.0,-2.04,1.72,0.0
20160107:0610,0.0,0.0,0.0,-2.1,1.45,0.0
20160107:0710,0.0,0.0,0.0,-3.01,1.52,0.0
20160107:0810,1514.76,390.07,7.8,-2.77,1.24,0.0
20160107:0910,2301.6,576.28,13.81,-1.29,1.24,0.0
20160107:1010,2988.84,755.36,17.82,2.07,1.45,0.0
20160107:1110,2946.76,743.73,19.47,3.7,2.14,0.0
20160107:1210,1609.84,410.64,18.57,4.65,2.83,0.0
20160107:1310,679.24,193.24,15.22,4.81,2.97,0.0
20160107:1410,194.8,76.66,9.76,4.25,2.41,0.0
20160107:1510,0.0,6.42,2.62,3.6,1.72,0.0
20160107:1610,0.0,0.0,0.0,2.65,1.38,0.0
20160107:1710,0.0,0.0,0.0,1.58,1.66,0.0
20160107:1810,0.0,0.0,0.0,1.01,1.59,0.0
20160107:1910,0.0,0.0,0.0,1.9,2.21,0.0
20160107:2010,0.0,0.0,0.0,2.42,3.03,0.0
20160107:2110,0.0,0.0,0.0,3.19,3.66,0.0
20160107:2210,0.0,0.0,0.0,3.81,4.14,0.0
20160107:2310,0.0,0.0,0.0,3.92,4.48,0.0
20160108:0010,0.0,0.0,0.0,3.85,4.34,0.0
20160108:0110,0.0,0.0,0.0,3.65,4.14,0.0
20160108:0210,0.0,0.0,0.0,3.21,3.72,0.0
20160108:0310,0.0,0.0,0.0,3.11,3.72,0.0
20160108:0410,0.0,0.0,0.0,2.97,3.59,0.0
20160108:0510,0.0,0.0,0.0,2.79,3.38,0.0
20160108:0610,0.0,0.0,0.0,2.54,3.17,0.0
20160108:0710,0.0,0.0,0.0,2.27,2.55,0.0
20160108:0810,1264.6,332.7,7.86,2.06,2.07,0.0
20160108:0910,2294.4,579.02,13.89,3.08,1.59,0.0
20160108:1010,2816.72,714.23,17.93,4.93,1.66,0.0
20160108:1110,779.92,218.18,19.59,6.08,1.72,0.0
20160108:1210,277.0,98.42,18.71,6.65,1.72,0.0
20160108:1310,186.4,75.23,15.38,6.83,0.83,0.0
20160108:1410,118.24,56.62,9.92,6.66,0.28,0.0
20160108:1510,35.72,31.89,2.78,5.55,1.52,0.0
20160108:1610,0.0,0.0,0.0,4.39,1.66,0.0
20160108:1710,0.0,0.0,0.0,3.76,1.66,0.0
20160108:1810,0.0,0.0,0.0,3.33,1.52,0.0
20160108:1910,0.0,0.0,0.0,2.96,1.59,0.0
20160108:2010,0.0,0.0,0.0,2.78,1.59,0.0
20160108:2110,0.0,0.0,0.0,2.54,1.59,0.0
20160108:2210,0.0,0.0,0.0,2.19,1.52,0.0
20160108:2310,0.0,0.0,0.0,1.93,1.03,0.0
20160109:0010,0.0,0.0,0.0,1.89,0.83,0.0
20160109:0110,0.0,0.0,0.0,1.91,0.9,0.0
20160109:0210,0.0,0.0,0.0,1.95,0.9,0.0
20160109:0310,0.0,0.0,0.0,2.05,0.9,0.0
20160109:0410,0.0,0.0,0.0,2.19,0.97,0.0
20160109:0510,0.0,0.0,0.0,2.17,1.1,0.0
20160109:0610,0.0,0.0,0.0,2.24,1.03,0.0
20160109:0710,0.0,0.0,0.0,2.33,1.03,0.0
20160109:0810,129.4,59.34,7.94,2.44,0.9,0.0
20160109:0910,116.56,55.96,13.99,3.66,0.62,0.0
20160109:1010,1237.92,325.12,18.04,4.59,0.76,0.0
20160109:1110,264.88,95.41,19.73,5.85,0.55,0.0
20160109:1210,901.24,247.56,18.86,6.57,0.21,0.0
20160109:1310,209.96,81.29,15.54,6.38,0.28,0.0
20160109:1410,151.08,65.52,10.09,6.06,0.55,0.0
20160109:1510,0.0,11.01,2.94,5.57,1.03,0.0
20160109:1610,0.0,0.0,0.0,5.15,1.31,0.0
20160109:1710,0.0,0.0,0.0,4.94,1.45,0.0
20160109:1810,0.0,0.0,0.0,4.7,1.45,0.0
20160109:1910,0.0,0.0,0.0,3.99,1.79,0.0
20160109:2010,0.0,0.0,0.0,3.55,1.79,0.0
20160109:2110,0.0,0.0,0.0,2.98,1.79,0.0
20160109:2210,0.0,0.0,0.0,2.61,1.72,0.0
20160109:2310,0.0,0.0,0.0,2.08,1.72,0.0
20160110:0010,0.0,0.0,0.0,1.46,1.59,0.0
20160110:0110,0.0,0.0,0.0,0.41,1.31,0.0
20160110:0210,0.0,0.0,0.0,-0.67,1.38,0.0
20160110:0310,0.0,0.0,0.0,-1.57,1.45,0.0
20160110:0410,0.0,0.0,0.0,-2.15,1.45,0.0
20160110:0510,0.0,0.0,0.0,-2.49,1.52,0.0
20160110:0610,0.0,0.0,0.0,-2.41,1.66,0.0
20160110:0710,0.0,0.0,0.0,-1.55,1.72,0.0
20160110:0810,256.84,92.09,8.02,-0.59,1.52,0.0
20160110:0910,627.52,181.01,14.09,2.32,0.9,0.0
20160110:1010,135.96,61.47,18.17,5.21,1.1,0.0
20160110:1110,172.72,71.56,19.87,6.82,1.79,0.0
20160110:1210,894.52,244.59,19.02,6.32,2.41,0.0
20160110:1310,214.08,82.18,15.71,5.85,2.28,0.0
20160110:1410,62.8,40.37,10.26,5.5,1.86,0.0
20160110:1510,0.0,2.75,3.12,4.8,1.1,0.0
20160110:1610,0.0,0.0,0.0,3.73,1.59,0.0
20160110:1710,0.0,0.0,0.0,2.3,1.93,0.0
20160110:1810,0.0,0.0,0.0,1.7,1.66,0.0
20160110:1910,0.0,0.0,0.0,2.15,0.83,0.0
20160110:2010,0.0,0.0,0.0,2.69,0.34,0.0
20160110:2110,0.0,0.0,0.0,1.93,0.69,0.0
20160110:2210,0.0,0.0,0.0,0.49,1.45,0.0
20160110:2310,0.0,0.0,0.0,0.82,1.66,0.0
20160111:0010,0.0,0.0,0.0,1.7,2.0,0.0
20160111:0110,0.0,0.0,0.0,2.55,2.41,0.0
20160111:0210,0.0,0.0,0.0,2.73,2.07,0.0
20160111:0310,0.0,0.0,0.0,2.33,1.66,0.0
20160111:0410,0.0,0.0,0.0,2.0,1.66,0.0
20160111:0510,0.0,0.0,0.0,2.03,1.72,0.0
20160111:0610,0.0,0.0,0.0,1.84,1.72,0.0
20160111:0710,0.0,0.0,0.0,1.97,1.86,0.0
20160111:0810,0.96,18.35,8.1,2.11,1.79,0.0
20160111:0910,54.44,37.61,14.19,2.81,1.59,0.0
20160111:1010,282.52,99.27,18.3,3.51,1.72,0.0
20160111:1110,139.4,62.38,20.02,4.83,0.69,0.0
20160111:1210,62.8,40.37,19.19,5.59,1.66,0.0
20160111:1310,84.12,46.79,15.88,5.74,2.83,0.0
20160111:1410,48.24,35.78,10.44,6.01,5.38,0.0
20160111:1510,0.0,8.26,3.29,6.08,5.17,0.0
20160111:1610,0.0,0.0,0.0,5.72,4.76,0.0
20160111:1710,0.0,0.0,0.0,5.4,4.97,0.0
20160111:1810,0.0,0.0,0.0,5.54,5.59,0.0
20160111:1910,0.0,0.0,0.0,4.06,3.45,0.0
20160111:2010,0.0,0.0,0.0,3.94,3.72,0.0
20160111:2110,0.0,0.0,0.0,3.79,4.21,0.0
20160111:2210,0.0,0.0,0.0,3.71,5.17,0.0
20160111:2310,0.0,0.0,0.0,3.66,5.66,0.0
20160112:0010,0.0,0.0,0.0,3.44,5.38,0.0
20160112:0110,0.0,0.0,0.0,3.01,4.55,0.0
20160112:0210,0.0,0.0,0.0,2.91,4.0,0.0
20160112:0310,0.0,0.0,0.0,3.26,4.62,0.0
20160112:0410,0.0,0.0,0.0,3.27,4.9,0.0
20160112:0510,0.0,0.0,0.0,3.1,4.9,0.0
20160112:0610,0.0,0.0,0.0,2.67,4.62,0.0
20160112:0710,0.0,0.0,0.0,2.35,4.21,0.0
20160112:0810,112.28,54.5,8.2,1.71,3.93,0.0
20160112:0910,32.16,30.27,14.31,1.74,4.55,0.0
20160112:1010,253.68,91.74,18.43,2.14,4.9,0.0
20160112:1110,1313.24,338.38,20.18,2.66,5.1,0.0
20160112:1210,481.52,147.01,19.36,3.53,5.45,0.0
20160112:1310,42.92,33.94,16.06,3.82,5.1,0.0
20160112:1410,648.64,185.14,10.62,3.62,5.17,0.0
20160112:1510,127.68,59.29,3.48,3.18,4.69,0.0
20160112:1610,0.0,0.0,0.0,2.23,4.07,0.0
20160112:1710,0.0,0.0,0.0,1.15,4.07,0.0
20160112:1810,0.0,0.0,0.0,1.48,4.55,0.0
20160112:1910,0.0,0.0,0.0,2.17,4.69,0.0
20160112:2010,0.0,0.0,0.0,1.98,4.76,0.0
20160112:2110,0.0,0.0,0.0,1.77,4.76,0.0
20160112:2210,0.0,0.0,0.0,1.76,4.69,0.0
20160112:2310,0.0,0.0,0.0,1.62,4.41,0.0
20160113:0010,0.0,0.0,0.0,1.33,4.34,0.0
20160113:0110,0.0,0.0,0.0,0.96,4.62,0.0
20160113:0210,0.0,0.0,0.0,0.97,5.03,0.0
20160113:0310,0.0,0.0,0.0,0.71,5.24,0.0
20160113:0410,0.0,0.0,0.0,0.53,5.24,0.0
20160113:0510,0.0,0.0,0.0,0.73,5.66,0.0
20160113:0610,0.0,0.0,0.0,0.9,6.07,0.0
20160113:0710,0.0,0.0,0.0,1.28,6.62,0.0
20160113:0810,942.88,254.68,8.3,1.57,6.9,0.0
20160113:0910,603.6,174.23,14.43,1.48,7.24,0.0
20160113:1010,303.36,103.83,18.58,1.38,7.79,0.0
20160113:1110,98.0,50.46,20.34,1.49,7.72,0.0
20160113:1210,32.2,30.27,19.53,1.63,7.17,0.0
20160113:1310,54.64,37.61,16.25,2.11,5.79,0.0
20160113:1410,16.72,24.77,10.81,2.0,6.48,0.0
20160113:1510,10.84,22.55,3.66,1.37,5.31,0.0
20160113:1610,0.0,0.0,0.0,1.08,5.03,0.0
20160113:1710,0.0,0.0,0.0,0.95,5.03,0.0
20160113:1810,0.0,0.0,0.0,0.89,4.97,0.0
20160113:1910,0.0,0.0,0.0,1.17,4.9,0.0
20160113:2010,0.0,0.0,0.0,0.97,4.69,0.0
20160113:2110,0.0,0.0,0.0,0.51,4.28,0.0
20160113:2210,0.0,0.0,0.0,0.06,3.72,0.0
20160113:2310,0.0,0.0,0.0,-0.35,3.24,0.0
20160114:0010,0.0,0.0,0.0,-0.72,2.83,0.0
20160114:0110,0.0,0.0,0.0,-1.14,2.34,0.0
20160114:0210,0.0,0.0,0.0,-1.69,1.93,0.0
20160114:0310,0.0,0.0,0.0,-2.74,1.59,0.0
20160114:0410,0.0,0.0,0.0,-3.05,1.24,0.0
20160114:0510,0.0,0.0,0.0,-3.18,1.17,0.0
20160114:0610,0.0,0.0,0.0,-3.71,1.31,0.0
20160114:0710,0.0,0.0,0.0,-2.74,1.17,0.0
20160114:0810,1031.04,275.26,8.41,-2.65,1.17,0.0
20160114:0910,1643.04,417.17,14.56,-0.31,1.17,0.0
20160114:1010,1991.2,501.39,18.73,1.32,1.59,0.0
20160114:1110,3313.4,838.42,20.51,2.3,2.07,0.0
20160114:1210,3190.32,806.84,19.72,3.03,2.07,0.0
20160114:1310,2744.44,691.13,16.44,3.39,1.93,0.0
20160114:1410,2115.8,534.5,11.0,3.28,1.79,0.0
20160114:1510,126.36,58.84,3.85,2.53,1.52,0.0
20160114:1610,0.0,0.0,0.0,1.35,1.17,0.0
20160114:1710,0.0,0.0,0.0,0.74,0.97,0.0
20160114:1810,0.0,0.0,0.0,0.25,1.45,0.0
20160114:1910,0.0,0.0,0.0,0.54,2.28,0.0
20160114:2010,0.0,0.0,0.0,0.36,2.48,0.0
20160114:2110,0.0,0.0,0.0,0.35,2.9,0.0
20160114:2210,0.0,0.0,0.0,0.51,3.45,0.0
20160114:2310,0.0,0.0,0.0,0.51,3.45,0.0
20160115:0010,0.0,0.0,0.0,0.22,3.24,0.0
20160115:0110,0.0,0.0,0.0,-0.11,3.17,0.0
20160115:0210,0.0,0.0,0.0,-0.19,3.38,0.0
20160115:0310,0.0,0.0,0.0,-0.34,3.59,0.0
20160115:0410,0.0,0.0,0.0,-0.31,3.79,0.0
20160115:0510,0.0,0.0,0.0,-0.57,3.86,0.0
20160115:0610,0.0,0.0,0.0,-0.57,4.48,0.0
20160115:0710,0.0,0.0,0.0,-0.55,4.28,0.0
20160115:0810,24.48,27.52,8.52,-0.62,4.83,0.0
20160115:0910,881.64,237.68,14.7,-0.32,4.62,0.0
20160115:1010,572.6,167.08,18.89,-0.55,5.45,0.0
20160115:1110,415.44,130.56,20.69,-0.49,5.79,0.0
20160115:1210,875.48,236.26,19.91,-0.4,6.28,0.0
20160115:1310,655.92,185.82,16.64,-0.4,5.79,0.0
20160115:1410,198.72,77.11,11.2,-0.57,4.97,0.0
20160115:1510,214.2,81.7,4.05,-0.72,5.31,0.0
20160115:1610,0.0,0.0,0.0,-0.83,6.28,0.0
20160115:1710,0.0,0.0,0.0,-0.88,6.14,0.0
20160115:1810,0.0,0.0,0.0,-0.88,6.0,0.0
20160115:1910,0.0,0.0,0.0,-0.73,5.17,0.0
20160115:2010,0.0,0.0,0.0,-0.96,4.9,0.0
20160115:2110,0.0,0.0,0.0,-1.25,4.9,0.0
20160115:2210,0.0,0.0,0.0,-1.35,4.62,0.0
20160115:2310,0.0,0.0,0.0,-1.42,3.66,0.0
20160116:0010,0.0,0.0,0.0,-1.53,3.45,0.0
20160116:0110,0.0,0.0,0.0,-1.57,4.14,0.0
20160116:0210,0.0,0.0,0.0,-1.65,3.52,0.0
20160116:0310,0.0,0.0,0.0,-2.08,2.69,0.0
20160116:0410,0.0,0.0,0.0,-2.46,2.41,0.0
20160116:0510,0.0,0.0,0.0,-2.59,2.14,0.0
20160116:0610,0.0,0.0,0.0,-2.57,2.14,0.0
20160116:0710,0.0,0.0,0.0,-2.48,2.28,0.0
20160116:0810,281.76,97.93,8.64,-2.76,1.86,0.0
20160116:0910,248.64,89.77,14.84,-2.43,1.66,0.0
20160116:1010,255.68,91.74,19.05,-2.01,1.79,0.0
20160116:1110,204.84,78.9,20.87,-1.54,2.28,0.0
20160116:1210,101.72,51.37,20.11,-0.88,2.9,0.0
20160116:1310,128.08,58.71,16.84,-0.67,2.83,0.0
20160116:1410,168.04,69.23,11.4,-0.69,2.97,0.0
20160116:1510,47.56,35.32,4.25,-1.11,2.28,0.0
20160116:1610,0.0,0.0,0.0,-2.03,2.34,0.0
20160116:1710,0.0,0.0,0.0,-2.2,2.83,0.0
20160116:1810,0.0,0.0,0.0,-2.46,3.17,0.0
20160116:1910,0.0,0.0,0.0,-1.99,3.93,0.0
20160116:2010,0.0,0.0,0.0,-2.0,4.28,0.0
20160116:2110,0.0,0.0,0.0,-1.99,4.55,0.0
20160116:2210,0.0,0.0,0.0,-2.0,4.97,0.0
20160116:2310,0.0,0.0,0.0,-2.29,5.17,0.0
20160117:0010,0.0,0.0,0.0,-2.48,5.24,0.0
20160117:0110,0.0,0.0,0.0,-2.73,4.76,0.0
20160117:0210,0.0,0.0,0.0,-3.2,4.55,0.0
20160117:0310,0.0,0.0,0.0,-3.36,4.21,0.0
20160117:0410,0.0,0.0,0.0,-3.49,3.86,0.0
20160117:0510,0.0,0.0,0.0,-3.8,3.72,0.0
20160117:0610,0.0,0.0,0.0,-3.8,3.38,0.0
20160117:0710,0.0,0.0,0.0,-3.92,2.97,0.0
20160117:0810,136.68,60.7,8.77,-4.0,2.28,0.0
20160117:0910,73.76,43.12,14.99,-3.76,2.9,0.0
20160117:1010,375.36,120.51,19.22,-3.36,2.97,0.0
20160117:1110,278.68,97.24,21.06,-2.98,3.24,0.0
20160117:1210,89.32,47.7,20.31,-2.75,3.03,0.0
20160117:1310,212.6,80.73,17.05,-2.59,2.83,0.0
20160117:1410,459.16,139.68,11.61,-2.65,2.83,0.0
20160117:1510,0.0,14.68,4.45,-3.26,2.48,0.0
20160117:1610,0.0,0.0,0.0,-4.45,2.55,0.0
20160117:1710,0.0,0.0,0.0,-4.67,2.48,0.0
20160117:1810,0.0,0.0,0.0,-4.91,2.41,0.0
20160117:1910,0.0,0.0,0.0,-5.42,1.93,0.0
20160117:2010,0.0,0.0,0.0,-6.22,1.86,0.0
20160117:2110,0.0,0.0,0.0,-6.75,1.72,0.0
20160117:2210,0.0,0.0,0.0,-7.68,1.52,0.0
20160117:2310,0.0,0.0,0.0,-7.43,1.17,0.0
20160118:0010,0.0,0.0,0.0,-6.35,0.76,0.0
20160118:0110,0.0,0.0,0.0,-6.35,0.83,0.0
20160118:0210,0.0,0.0,0.0,-6.37,0.83,0.0
20160118:0310,0.0,0.0,0.0,-6.1,0.62,0.0
20160118:0410,0.0,0.0,0.0,-6.21,0.07,0.0
20160118:0510,0.0,0.0,0.0,-6.3,0.62,0.0
20160118:0610,0.0,0.0,0.0,-7.29,1.24,0.0
20160118:0710,0.0,0.0,0.0,-8.79,1.52,0.0
20160118:0810,728.64,201.75,8.9,-9.26,1.72,0.0
20160118:0910,973.76,256.13,15.15,-8.06,1.86,0.0
20160118:1010,1102.2,286.37,19.4,-5.88,2.28,0.0
20160118:1110,1231.88,316.93,21.26,-4.42,2.41,0.0
20160118:1210,1339.28,341.75,20.52,-3.63,2.62,0.0
20160118:1310,1309.0,334.37,17.26,-3.34,2.76,0.0
20160118:1410,961.44,254.74,11.82,-3.55,2.62,0.0
20160118:1510,649.72,186.22,4.66,-4.57,2.21,0.0
20160118:1610,0.0,0.0,0.0,-6.22,2.48,0.0
20160118:1710,0.0,0.0,0.0,-7.42,2.48,0.0
20160118:1810,0.0,0.0,0.0,-8.71,2.34,0.0
20160118:1910,0.0,0.0,0.0,-8.36,1.66,0.0
20160118:2010,0.0,0.0,0.0,-8.48,1.66,0.0
20160118:2110,0.0,0.0,0.0,-8.2,1.59,0.0
20160118:2210,0.0,0.0,0.0,-7.77,1.52,0.0
20160118:2310,0.0,0.0,0.0,-7.43,1.31,0.0
20160119:0010,0.0,0.0,0.0,-7.89,1.17,0.0
20160119:0110,0.0,0.0,0.0,-8.11,1.17,0.0
